["k__Archaea", "p__Euryarchaeota", "c__Methanobacteria", "o__Methanobacteriales", "f__Methanobacteriaceae", "g__Methanobacterium", "s__Methanobacterium bryantii"]
["k__Archaea", "p__Euryarchaeota", "c__Methanobacteria", "o__Methanobacteriales", "f__Methanobacteriaceae", "g__Methanothermobacter", "s__Methanothermobacter thermautotrophicus"]
["k__Archaea", "p__Euryarchaeota", "c__Halobacteria", "o__Halobacteriales", "f__Halobacteriaceae", "g__Natronococcus", "s__"]
["k__Archaea", "p__Crenarchaeota", "c__Thaumarchaeota", "o__Nitrososphaerales", "f__Nitrososphaeraceae", "g__Candidatus Nitrososphaera", "s__"]
["k__Archaea", "p__Crenarchaeota", "c__Thaumarchaeota", "o__Nitrososphaerales", "f__Nitrososphaeraceae", "g__Candidatus Nitrososphaera", "s__"]
["k__Bacteria", "p__Thermi", "c__Deinococci", "o__Thermales", "f__Thermaceae", "g__Thermus", "s__Thermus thermophilus"]
["k__Bacteria", "p__Thermi", "c__Deinococci", "o__Thermales", "f__Thermaceae", "g__Meiothermus", "s__"]
["k__Bacteria", "p__Thermi", "c__Deinococci", "o__Deinococcales", "f__Deinococcaceae", "g__Deinococcus", "s__"]
["k__Bacteria", "p__Thermi", "c__Deinococci", "o__Deinococcales", "f__Deinococcaceae", "g__Deinococcus", "s__"]
["k__Bacteria", "p__Thermi", "c__Deinococci", "o__Deinococcales", "f__Deinococcaceae", "g__Deinococcus", "s__Deinococcus murrayi"]
["k__Bacteria", "p__Thermi", "c__Deinococci", "o__Deinococcales", "f__Deinococcaceae", "g__Deinococcus", "s__"]
["k__Bacteria", "p__Nitrospirae", "c__Nitrospira (class)", "o__Nitrospirales", "f__Nitrospiraceae", "g__Nitrospira", "s__"]
["k__Bacteria", "p__Nitrospirae", "c__Nitrospira (class)", "o__Nitrospirales", "f__Nitrospiraceae", "g__Nitrospira", "s__"]
["k__Bacteria", "p__Verrucomicrobia", "c__Opitutae", "o__", "f__Opitutaceae", "g__Opitutus", "s__"]
["k__Bacteria", "p__Verrucomicrobia", "c__Verrucomicrobiae", "o__Verrucomicrobiales", "f__Verrucomicrobiaceae", "g__Prosthecobacter", "s__Prosthecobacter debontii"]
